0	28126961		92.6702844674,915.555282347,103.078141363,911.122058661,113.485998259,906.688834975,114.109970697,906.48177783,133.085406373,901.875729122,152.060842049,897.269680414,152.22253234,897.233959127,167.383977722,894.212139792,182.53247276,891.192901584,182.545418774,891.190299096,198.444489006,887.966855872,214.356500991,884.740788784,214.563687049,884.704426592,220.946283051,883.756507529,227.328879054,882.808588465,227.618791105,882.776285051,232.250065033,882.430635006,236.881338962,882.084984961,237.773102396,882.118249601,241.487017143,882.676003083,245.20093189,883.233756565,245.654666619,883.329069463,250.063550443,884.525751817,254.472434268,885.72243417,255.092563005,885.947099547,262.164568332,889.191496562,269.236573659,892.435893577,269.62092282,892.638162571,283.359071532,900.849969705,297.097220245,909.06177684,297.296388577,909.18895963,304.790935103,914.292534919,312.285481629,919.396110207,312.477796484,919.535607335,319.644317605,925.066008058,326.810838726,930.596408781
1	28126961		95.8053291965,922.915411051,106.213186092,918.482187366,116.018242599,914.305726334,116.63378723,914.101465847,134.972506227,909.649972117,153.78706011,905.082975443,153.948611854,905.047284765,168.947696995,902.057825361,184.109142377,899.036006026,184.122088462,899.033403524,200.034100447,895.807336435,215.740025399,892.623052284,215.946924968,892.586740373,222.121522377,891.669712475,228.215768891,890.764617989,228.504910026,890.732400475,232.845480257,890.408446781,236.592399471,890.128799579,237.461970576,890.161236398,240.298905498,890.587285578,243.555094951,891.076298151,244.00578172,891.170970786,247.96796934,892.246408514,251.742479905,893.270905953,252.354178105,893.492517045,258.828729754,896.462822506,265.506553691,899.526382422,265.88863715,899.727459059,279.254534632,907.716757662,292.78993358,915.807373652,292.988754342,915.934334495,300.288061538,920.904957294,307.586321924,925.874867244,307.778297557,926.014118315,314.75681433,931.399436177,321.923335452,936.9298369
2	114136735		327.687293233,931.532376069,330.672880387,935.976073998,333.658467541,940.419771928,333.873693815,940.779498225,336.197670409,945.170824935,338.521647002,949.562151646,338.568843761,949.654192586,340.503637671,953.550611277,342.43843158,957.447029968,342.629941065,957.900914273,346.271579028,968.27303419,349.82801564,978.402483462,349.92083426,978.641915641,351.688282785,982.79917072,353.130972611,986.192553621,353.673716302,987.09874334,355.171806017,988.961685297,357.16139051,991.435823123,357.359610297,991.664039669,360.004591438,994.48578985,361.963179308,996.575273814,362.959032771,997.334439391,366.061863735,998.969438002,370.221380836,1001.16124437,370.321328494,1001.21213253,382.535499289,1007.21674946,394.795700125,1013.24399526,394.850549506,1013.27044327,406.059554392,1018.57056427,417.323613191,1023.89671724,417.53718181,1024.00564951,431.164135471,1031.47902246,444.70501785,1038.90519169,444.791642342,1038.95132519,452.115588778,1042.73720267,459.526739014,1046.56815734,459.528270265,1046.56894929,463.753682253,1048.75544768,467.947950397,1050.92583026,467.979163683,1050.94180894,477.338301923,1055.68127345,486.31916847,1060.22918131,486.737879847,1060.41178549,491.944816712,1062.33451727,497.310498786,1064.31586786,497.585324103,1064.4061706,503.489301058,1066.11159103,509.352903409,1067.80534886,509.674460803,1067.88392777,522.208783833,1070.40049991,534.900226287,1072.94861762,535.069061098,1072.97876178,541.676839639,1074.01274625,548.016079031,1075.00470974,548.455265869,1075.04863266,557.024626427,1075.42708937,565.973098701,1075.82228914,566.036999804,1075.82459962,595.08394084,1076.64240944,624.194805534,1077.46201902,624.765366869,1077.51920057,640.688498359,1080.27916381,656.394284684,1083.00145452,656.612337073,1083.03308137,666.645428961,1084.2067529,676.782360427,1085.39257159,676.897759794,1085.40437679,685.355303362,1086.14577065,693.928441895,1086.89729764,694.702600239,1087.04302816,699.078125547,1088.32350446,703.453650855,1089.60398076,704.036619104,1089.82522189,734.059283227,1103.98639949,764.081947351,1118.1475771,764.203846681,1118.207627,777.686246773,1125.13633927,791.168646866,1132.06505154,791.934589092,1132.57812174,805.305794132,1143.97148043,818.286808326,1155.03236465,818.694997898,1155.33719812,825.721043886,1159.91228304,832.655155483,1164.42750389,833.196577097,1164.72263845,837.810265625,1166.78836723,842.039353157,1168.6818951,843.013619382,1168.97154506,850.088845654,1170.09146276,856.877182216,1171.16596949,858.153261575,1171.14931935,865.24215599,1169.83679398,873.520237529,1168.30408783,873.642528161,1168.27946626,895.720684198,1163.47475739,917.920776391,1158.64351244,918.673805185,1158.55321979,923.933331159,1158.4249103,929.192857133,1158.29660082
3	114136735		321.046880945,935.993869613,324.032468099,940.437567543,326.784596341,944.533789137,326.998640718,944.891540026,329.126805573,948.912865885,331.402403351,953.212777224,331.449584329,953.30478739,333.338379318,957.108570347,335.054493213,960.56459645,335.244550297,961.015038513,338.723301707,970.92322465,342.36493967,981.295344567,342.457950755,981.535273225,344.326027633,985.929218496,346.194104512,990.323163767,346.758081185,991.264805044,348.93750421,993.975015625,351.116927235,996.685226207,351.315717931,996.914100057,354.167871023,999.956867879,357.020024115,1002.9996357,358.073675413,1003.8028621,362.332445917,1006.04696884,366.59121642,1008.29107557,366.691203413,1008.34198375,379.006055456,1014.39609667,391.320907499,1020.45020958,391.375763237,1020.47666065,402.639822036,1025.80281362,413.687240986,1031.02652954,413.900425998,1031.13526614,427.317265876,1038.49340727,440.944219536,1045.96678022,441.030870126,1046.01292762,448.442020363,1049.84388228,455.851639177,1053.67404533,455.853170428,1053.67483728,460.077051336,1055.86054339,464.302463323,1058.04704179,464.333677809,1058.06302109,473.724099976,1062.81832777,483.114522143,1067.57363445,483.536018673,1067.75745327,489.173607825,1069.83920922,494.811196977,1071.92096518,495.086746692,1072.01150594,501.2691916,1073.79736451,507.451636508,1075.58322308,507.774306441,1075.66207386,520.634014241,1078.24397495,533.493722041,1080.82587605,533.662712472,1080.85604799,540.44005091,1081.91656517,547.217389348,1082.97708236,547.659299988,1083.02127768,556.671658978,1083.41929895,565.684017968,1083.81732021,565.747927238,1083.81963098,594.858791933,1084.63924056,623.397938555,1085.44275355,623.962637194,1085.49934754,639.322226783,1088.16163182,655.245358274,1090.92159506,655.463742985,1090.95327012,665.715926807,1092.15257103,675.96811063,1093.35187195,676.083558585,1093.36368211,684.656697118,1094.1152091,692.448903463,1094.79827906,693.208048976,1094.94118351,696.831202616,1096.00148188,700.610109632,1097.10736073,701.185994823,1097.32591378,730.646423798,1111.22189468,760.546203905,1125.32510999,760.668032893,1125.38512524,774.029588683,1132.25173466,786.697486786,1138.7618679,787.443085861,1139.26131114,800.11725159,1150.06073541,813.48845663,1161.4540941,813.900040174,1161.76146217,821.355668431,1166.61627417,828.811296688,1171.47108617,829.359392644,1171.76985898,834.541082081,1174.08990398,839.722771519,1176.40994898,840.732000241,1176.70999331,848.838119554,1177.99308818,856.944238867,1179.27618304,858.297834047,1179.25852148,866.698620249,1177.70309628,875.099406451,1176.14767108,875.221756638,1176.12303751,897.421848831,1171.29179256,918.884201584,1166.62109649,919.623694565,1166.53242687,924.128438205,1166.42253078,929.387964179,1166.29422129
4	114146281		2087.6109852,1934.76270273,2089.03984162,1936.73186057,2090.46869804,1938.7010184,2090.55312143,1938.82199735,2091.99865711,1940.97707301,2093.44419279,1943.13214867,2094.12126451,1945.27028042,2094.2046608,1948.9729256,2094.28805709,1952.67557078
5	114146281		2081.13600386,1939.46106592,2082.56486028,1941.43022375,2083.9070915,1943.28000032,2083.99145747,1943.40089699,2085.354829,1945.4334783,2085.60112612,1945.80067015,2086.17176992,1947.60271207,2086.20668925,1949.15306739,2086.29008554,1952.85571257
6	114146282		2064.99581629,1880.62074578,2061.32081981,1883.75254468,2057.64582333,1886.88434357,2056.18090063,1887.67708461,2052.40026885,1888.78997302,2048.61963707,1889.90286142,2047.4426354,1890.06537563,2044.57380305,1890.03133433,2041.7049707,1889.99729304,2040.49949106,1889.79627723,2036.86341285,1888.59697631,2033.22733464,1887.3976754,2031.95640772,1886.70221241,2023.26651438,1879.63471641,2014.90474956,1872.83408755,2014.56439124,1872.58601541,2010.99927254,1870.26621269,2007.70365967,1868.1217759,2007.05309696,1867.78038862,2004.61719835,1866.78009801,2002.74262797,1866.01031427,2001.48202814,1865.73192926,1999.98536529,1865.66446756,1998.16014819,1865.58219635,1997.1669159,1865.66601629,1995.37513552,1866.05434568,1993.87752896,1866.3789193,1992.70200885,1866.85120859,1991.21117034,1867.76655458,1989.66963755,1868.71302589,1988.74944916,1869.50616802,1987.95007875,1870.45778299,1987.53027784,1870.95753733,1986.78273549,1872.47515985,1986.61985764,1873.21494706,1986.42259334,1874.1109167,1986.42567512,1875.68303463,1986.47190211,1875.88914503,1986.49757774,1876.00362396,1987.21585247,1877.48171755,1988.065191,1878.52335786,1989.16917701,1879.87730131,1990.17023479,1880.73764854,1992.64682732,1882.1992311,1995.95567664,1884.15197722,1996.32539007,1884.34479176,2001.20403435,1886.57212178,2006.46356032,1888.97334217,2006.69661446,1889.08904525,2035.27374291,1904.45476089,2063.85087135,1919.82047654,2064.05002342,1919.93505117,2075.25848469,1926.81924791,2086.46694597,1933.70344464
7	114146282		2059.8068881,1874.53181942,2056.13189162,1877.66361832,2053.69687482,1879.7387177,2052.3589626,1880.46272718,2050.14118607,1881.11556457,2047.48772399,1881.89665285,2046.36264809,1882.05199742,2044.66872361,1882.03189747,2043.00758609,1882.01218657,2041.85837178,1881.8205531,2039.36929268,1880.99957108,2037.08632345,1880.24657103,2035.89875837,1879.59672441,2028.31424806,1873.42823716,2019.62435472,1866.36074116,2019.28207763,1866.11127051,2015.36245204,1863.56079215,2011.44282644,1861.01031378,2010.78069407,1860.66285524,2007.6561131,1859.37976037,2004.53153213,1858.09666551,2003.19219088,1857.80089161,2000.34559754,1857.67258213,1997.4990042,1857.54427264,1996.47164482,1857.63097261,1993.68064901,1858.23586018,1990.88965319,1858.84074776,1989.64397908,1859.34122286,1987.0253356,1860.94901929,1984.40669212,1862.55681571,1983.43681196,1863.3927889,1981.8244837,1865.31219407,1980.21215545,1867.23159925,1979.36851329,1868.94431871,1978.80697827,1871.49479708,1978.24544326,1874.04527544,1978.24884523,1875.78073411,1978.66582667,1877.63991238,1979.08280812,1879.49909066,1979.8857726,1881.1514621,1981.86504453,1883.5788681,1983.84431646,1886.0062741,1984.9113888,1886.92335677,1988.58082553,1889.08890667,1992.25026226,1891.25445657,1992.62201792,1891.44833619,1997.8815439,1893.84955658,2002.90450109,1896.14277221,2003.13706216,1896.2582305,2031.48514417,1911.50078953,2059.85999561,1926.75774229,2060.05881915,1926.87212792,2071.07158182,1933.63612728,2082.28004309,1940.52032401
8	114146287		2082.69714498,1966.92130095,2078.44949399,1968.33008674,2074.20184299,1969.73887253,2073.07456718,1969.94006428,2068.71016138,1970.08408513,2064.34575558,1970.22810599,2063.21461388,1970.10346733,2059.25607002,1969.08222856,2055.29752616,1968.06098979,2054.19859962,1967.59335748,2051.04066013,1965.6477667,2047.88272064,1963.70217591,2047.36248351,1963.32054081,2038.5169171,1955.66125003,2030.00079845,1948.28722491,2029.65781864,1948.02154995,2025.60750048,1945.22383873,2021.91627634,1942.67416761,2021.16249765,1942.26767284,2007.36551106,1936.68225939,1992.76004094,1930.76954877,1992.37593957,1930.58980094,1982.12375574,1925.11177144,1971.87520005,1919.63568055,1971.87157093,1919.6337438,1962.20679125,1914.48235073,1953.33150671,1909.75176392,1952.51178366,1909.4277811,1949.39327163,1908.58789703,1946.33083376,1907.76311496,1945.40442886,1907.63038516,1942.59152046,1907.56980997,1940.02261946,1907.51448941,1938.87360384,1907.66579738,1936.99652701,1908.21246414,1935.18076988,1908.74127257,1934.08319819,1909.26369711,1932.73825444,1910.19393622,1932.00840507,1910.6987413,1930.84496866,1912.07424507,1930.22605581,1913.39423947,1929.73250347,1914.44686962,1929.47430213,1916.40774541,1929.61370785,1917.18894191,1929.75032339,1917.95450291,1930.67896159,1919.71010685,1931.7030005,1920.71166803,1933.42947665,1922.40024789,1934.48539578,1923.12781647,1940.70650223,1925.99873871,1948.04003952,1929.38302662,1948.14611261,1929.43012223,1955.96754067,1932.76773741,1963.8957479,1936.15091815,1964.2951304,1936.34831909,1970.10507189,1939.63461308,1975.91501337,1942.92090707,1976.51201058,1943.33431614,1982.41646785,1948.27292209,1988.32092513,1953.21152804,1988.79791324,1953.6839345,1994.21867204,1960.03918192,1999.59009632,1966.33659001,1999.63997151,1966.39395013,2005.25493456,1972.72896613,2010.69926371,1978.87146646,2010.92992583,1979.11081315,2017.95545221,1985.81725956,2024.74453654,1992.29800246,2025.25285523,1992.70844543,2030.95582485,1996.57974679,2037.04347822,2000.71217995,2037.20746793,2000.81774634,2052.49691372,2010.14032406,2067.95302599,2019.56452492,2068.04479441,2019.62219967,2079.10870212,2026.78658242,2090.17260982,2033.95096518,2090.80686534,2034.46019896,2097.11162481,2040.67666265,2103.41638428,2046.89312634,2103.8256345,2047.36515995,2109.5632992,2055.13443028,2115.07718452,2062.60068491,2115.31420552,2062.8918405,2117.70376734,2065.55974495,2119.67705932,2067.76289132,2120.415145,2068.40239573,2124.72509817,2071.27281793,2129.28450226,2074.30937407,2129.89261778,2074.64117248,2134.45968554,2076.63379397,2139.1324593,2078.6725352,2139.68043905,2078.86510899,2145.08084054,2080.32768588,2150.70206948,2081.85006892,2151.04923375,2081.92763763,2163.40749595,2084.1148027,2175.79541025,2086.3072156,2176.11833671,2086.35084257,2186.89034781,2087.35994205,2197.98761403,2088.39951075
9	114146287		2080.17874531,1959.32803662,2075.93109431,1960.73682242,2072.75912227,1961.78884603,2071.67803761,1961.98179376,2068.44631332,1962.0884373,2065.20771034,1962.19530783,2064.12234511,1962.07571321,2061.25450535,1961.33585804,2058.43942564,1960.60961409,2057.38948099,1960.16282531,2055.23694854,1958.8366608,2052.62654122,1957.22840185,2052.11307191,1956.85173148,2043.75367978,1949.61341434,2034.90811337,1941.95412357,2034.56307975,1941.68685772,2030.15419593,1938.64147134,2025.7453121,1935.59608495,2024.97294758,1935.17956728,2010.36747746,1929.26685666,1996.15454438,1923.51305622,1995.7726017,1923.33431859,1985.89392489,1918.05586436,1975.64174107,1912.57783486,1975.63811194,1912.57589811,1965.96970214,1907.42257017,1956.30129234,1902.26924222,1955.46005954,1901.93675799,1951.47371691,1900.863148,1947.48737429,1899.78953802,1946.53327056,1899.65283969,1942.76375828,1899.5716643,1938.99424601,1899.49048891,1937.78966201,1899.6491144,1934.75959683,1900.53156944,1931.72953166,1901.41402448,1930.57260518,1901.96470083,1928.18747131,1903.61439423,1925.80233744,1905.26408762,1924.45606776,1906.85575091,1922.98273331,1909.99802405,1921.50939887,1913.14029718,1921.19326815,1915.54110995,1921.7381239,1918.59435202,1922.28297966,1921.64759408,1923.42390328,1923.80452666,1926.10926379,1926.4309433,1928.7946243,1929.05735993,1929.91543208,1929.82963927,1937.35438108,1933.26257268,1944.79333008,1936.69550608,1944.89944788,1936.74262154,1952.82765511,1940.12580228,1960.34674258,1943.33440054,1960.74364799,1943.53057714,1966.16642131,1946.59787608,1971.34691402,1949.52813314,1971.93407359,1949.93472984,1977.28382287,1954.40936694,1982.67514814,1958.91877904,1983.14541839,1959.38453216,1988.13205083,1965.23081386,1993.55280963,1971.58606128,1993.60269383,1971.64343176,1999.26808175,1978.03533904,2004.93346966,1984.42724631,2005.16493659,1984.66742812,2012.43153326,1991.60399607,2019.69812993,1998.54056402,2020.2135159,1998.95671348,2026.46267784,2003.19878222,2032.71183978,2007.44085095,2032.87602512,2007.54654327,2048.33213739,2016.97074412,2063.69571675,2026.33852401,2063.78745149,2026.39617759,2074.76038894,2033.50165298,2085.1450905,2040.2262189,2085.7662328,2040.72492429,2091.49480059,2046.37326564,2097.35605585,2052.15243624,2097.76031448,2052.61871249,2103.12797453,2059.88696606,2108.86563923,2067.65623639,2109.10371828,2067.94869169,2111.74460077,2070.89719132,2114.38548327,2073.84569095,2115.1478061,2074.50619531,2120.29057727,2077.93127304,2125.43334844,2081.35635076,2126.05102043,2081.69336334,2131.26050863,2083.96627425,2136.46999683,2086.23918515,2137.02394459,2086.43385624,2142.98955915,2088.04950835,2148.95517371,2089.66516045,2149.30372734,2089.7430396,2162.01332181,2091.99238345,2174.72291629,2094.24172731,2175.04692513,2094.28550051,2186.14419135,2095.3250692,2197.24145757,2096.3646379
